primary_key,codes,Perm_crop,year,area_ha
510,111160121,Outras culturas permanentes,1999,
511,111160121,Outras culturas permanentes,2009,
512,111160121,Outras culturas permanentes,2019,
513,111160122,Total,1989,17
514,111160122,Total,1999,15
515,111160122,Total,2009,7
516,111160122,Total,2019,6
517,111160122,Frutos frescos (excepto citrinos),1989,1
518,111160122,Frutos frescos (excepto citrinos),1999,1
519,111160122,Frutos frescos (excepto citrinos),2009,0
520,111160122,Frutos frescos (excepto citrinos),2019,0
521,111160122,Citrinos,1989,
522,111160122,Citrinos,1999,0
523,111160122,Citrinos,2009,0
524,111160122,Citrinos,2019,0
525,111160122,Frutos sub-tropicais,1989,0
526,111160122,Frutos sub-tropicais,1999,
527,111160122,Frutos sub-tropicais,2009,
528,111160122,Frutos sub-tropicais,2019,0
529,111160122,Frutos de casca rija,1989,1
530,111160122,Frutos de casca rija,1999,1
531,111160122,Frutos de casca rija,2009,
532,111160122,Frutos de casca rija,2019,0
533,111160122,Olival,1989,1
534,111160122,Olival,1999,0
535,111160122,Olival,2009,0
536,111160122,Olival,2019,
537,111160122,Vinha,1989,13
538,111160122,Vinha,1999,13
539,111160122,Vinha,2009,7
540,111160122,Vinha,2019,5
541,111160122,Outras culturas permanentes,1989,0
542,111160122,Outras culturas permanentes,1999,
543,111160122,Outras culturas permanentes,2009,
544,111160122,Outras culturas permanentes,2019,
545,111160123,Total,1989,15
546,111160123,Total,1999,17
547,111160123,Total,2009,15
548,111160123,Total,2019,32
549,111160123,Frutos frescos (excepto citrinos),1989,1
550,111160123,Frutos frescos (excepto citrinos),1999,
551,111160123,Frutos frescos (excepto citrinos),2009,0
552,111160123,Frutos frescos (excepto citrinos),2019,2
553,111160123,Citrinos,1989,1
554,111160123,Citrinos,1999,1
555,111160123,Citrinos,2009,0
556,111160123,Citrinos,2019,0
557,111160123,Frutos sub-tropicais,1989,
558,111160123,Frutos sub-tropicais,1999,2
559,111160123,Frutos sub-tropicais,2009,
560,111160123,Frutos sub-tropicais,2019,0
561,111160123,Frutos de casca rija,1989,1
562,111160123,Frutos de casca rija,1999,1
563,111160123,Frutos de casca rija,2009,0
564,111160123,Frutos de casca rija,2019,4
565,111160123,Olival,1989,3
566,111160123,Olival,1999,
567,111160123,Olival,2009,0
568,111160123,Olival,2019,0
569,111160123,Vinha,1989,9
570,111160123,Vinha,1999,13
571,111160123,Vinha,2009,14
572,111160123,Vinha,2019,26
573,111160123,Outras culturas permanentes,1989,
574,111160123,Outras culturas permanentes,1999,
575,111160123,Outras culturas permanentes,2009,
576,111160123,Outras culturas permanentes,2019,
577,111160124,Total,1989,27
578,111160124,Total,1999,50
579,111160124,Total,2009,52
580,111160124,Total,2019,58
581,111160124,Frutos frescos (excepto citrinos),1989,1
582,111160124,Frutos frescos (excepto citrinos),1999,1
583,111160124,Frutos frescos (excepto citrinos),2009,0
584,111160124,Frutos frescos (excepto citrinos),2019,
585,111160124,Citrinos,1989,0
586,111160124,Citrinos,1999,0
587,111160124,Citrinos,2009,0
588,111160124,Citrinos,2019,
589,111160124,Frutos sub-tropicais,1989,
590,111160124,Frutos sub-tropicais,1999,
591,111160124,Frutos sub-tropicais,2009,
592,111160124,Frutos sub-tropicais,2019,
593,111160124,Frutos de casca rija,1989,0
594,111160124,Frutos de casca rija,1999,2
595,111160124,Frutos de casca rija,2009,
596,111160124,Frutos de casca rija,2019,3
597,111160124,Olival,1989,0
598,111160124,Olival,1999,1
599,111160124,Olival,2009,
600,111160124,Olival,2019,0
601,111160124,Vinha,1989,18
602,111160124,Vinha,1999,39
603,111160124,Vinha,2009,44
604,111160124,Vinha,2019,53
605,111160124,Outras culturas permanentes,1989,7
606,111160124,Outras culturas permanentes,1999,7
607,111160124,Outras culturas permanentes,2009,7
608,111160124,Outras culturas permanentes,2019,2
609,111160125,Total,1989,21
610,111160125,Total,1999,4
611,111160125,Total,2009,3
612,111160125,Total,2019,1
613,111160125,Frutos frescos (excepto citrinos),1989,
614,111160125,Frutos frescos (excepto citrinos),1999,
615,111160125,Frutos frescos (excepto citrinos),2009,
616,111160125,Frutos frescos (excepto citrinos),2019,
617,111160125,Citrinos,1989,
618,111160125,Citrinos,1999,
619,111160125,Citrinos,2009,
620,111160125,Citrinos,2019,
621,111160125,Frutos sub-tropicais,1989,
622,111160125,Frutos sub-tropicais,1999,
623,111160125,Frutos sub-tropicais,2009,
624,111160125,Frutos sub-tropicais,2019,
625,111160125,Frutos de casca rija,1989,0
626,111160125,Frutos de casca rija,1999,
627,111160125,Frutos de casca rija,2009,
628,111160125,Frutos de casca rija,2019,
629,111160125,Olival,1989,
630,111160125,Olival,1999,
631,111160125,Olival,2009,
632,111160125,Olival,2019,
633,111160125,Vinha,1989,21
634,111160125,Vinha,1999,4
635,111160125,Vinha,2009,3
636,111160125,Vinha,2019,1
637,111160125,Outras culturas permanentes,1989,
638,111160125,Outras culturas permanentes,1999,
639,111160125,Outras culturas permanentes,2009,
640,111160125,Outras culturas permanentes,2019,
641,111160128,Total,1989,27
642,111160128,Total,1999,19
643,111160128,Total,2009,9
644,111160128,Total,2019,5
645,111160128,Frutos frescos (excepto citrinos),1989,0
646,111160128,Frutos frescos (excepto citrinos),1999,0
647,111160128,Frutos frescos (excepto citrinos),2009,
648,111160128,Frutos frescos (excepto citrinos),2019,
649,111160128,Citrinos,1989,
650,111160128,Citrinos,1999,
651,111160128,Citrinos,2009,
652,111160128,Citrinos,2019,0
653,111160128,Frutos sub-tropicais,1989,
654,111160128,Frutos sub-tropicais,1999,0
655,111160128,Frutos sub-tropicais,2009,
656,111160128,Frutos sub-tropicais,2019,
657,111160128,Frutos de casca rija,1989,
658,111160128,Frutos de casca rija,1999,0
659,111160128,Frutos de casca rija,2009,
660,111160128,Frutos de casca rija,2019,1
661,111160128,Olival,1989,1
662,111160128,Olival,1999,0
663,111160128,Olival,2009,0
664,111160128,Olival,2019,
665,111160128,Vinha,1989,27
666,111160128,Vinha,1999,19
667,111160128,Vinha,2009,8
668,111160128,Vinha,2019,4
669,111160128,Outras culturas permanentes,1989,
670,111160128,Outras culturas permanentes,1999,
671,111160128,Outras culturas permanentes,2009,
672,111160128,Outras culturas permanentes,2019,
673,111160131,Total,1989,26
674,111160131,Total,1999,19
675,111160131,Total,2009,6
676,111160131,Total,2019,26
677,111160131,Frutos frescos (excepto citrinos),1989,0
678,111160131,Frutos frescos (excepto citrinos),1999,
679,111160131,Frutos frescos (excepto citrinos),2009,
680,111160131,Frutos frescos (excepto citrinos),2019,0
681,111160131,Citrinos,1989,0
682,111160131,Citrinos,1999,0
683,111160131,Citrinos,2009,
684,111160131,Citrinos,2019,
685,111160131,Frutos sub-tropicais,1989,
686,111160131,Frutos sub-tropicais,1999,
687,111160131,Frutos sub-tropicais,2009,
688,111160131,Frutos sub-tropicais,2019,
689,111160131,Frutos de casca rija,1989,
690,111160131,Frutos de casca rija,1999,
691,111160131,Frutos de casca rija,2009,
692,111160131,Frutos de casca rija,2019,21
693,111160131,Olival,1989,1
694,111160131,Olival,1999,0
695,111160131,Olival,2009,
696,111160131,Olival,2019,0
697,111160131,Vinha,1989,25
698,111160131,Vinha,1999,18
699,111160131,Vinha,2009,6
700,111160131,Vinha,2019,5
701,111160131,Outras culturas permanentes,1989,
702,111160131,Outras culturas permanentes,1999,
703,111160131,Outras culturas permanentes,2009,
704,111160131,Outras culturas permanentes,2019,
705,111160130,Total,1989,25
706,111160130,Total,1999,21
707,111160130,Total,2009,9
708,111160130,Total,2019,9
709,111160130,Frutos frescos (excepto citrinos),1989,
710,111160130,Frutos frescos (excepto citrinos),1999,
711,111160130,Frutos frescos (excepto citrinos),2009,0
712,111160130,Frutos frescos (excepto citrinos),2019,0
713,111160130,Citrinos,1989,
714,111160130,Citrinos,1999,0
715,111160130,Citrinos,2009,0
716,111160130,Citrinos,2019,0
717,111160130,Frutos sub-tropicais,1989,
718,111160130,Frutos sub-tropicais,1999,
719,111160130,Frutos sub-tropicais,2009,
720,111160130,Frutos sub-tropicais,2019,
721,111160130,Frutos de casca rija,1989,
722,111160130,Frutos de casca rija,1999,1
723,111160130,Frutos de casca rija,2009,0
724,111160130,Frutos de casca rija,2019,2
725,111160130,Olival,1989,0
726,111160130,Olival,1999,0
727,111160130,Olival,2009,0
728,111160130,Olival,2019,0
729,111160130,Vinha,1989,25
730,111160130,Vinha,1999,20
731,111160130,Vinha,2009,9
732,111160130,Vinha,2019,7
733,111160130,Outras culturas permanentes,1989,
734,111160130,Outras culturas permanentes,1999,
735,111160130,Outras culturas permanentes,2009,
736,111160130,Outras culturas permanentes,2019,
737,111160133,Total,1989,33
